排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
1002,5905,南仁湖,10.85,-0.15,-1.4%,2014,16.7,6.43,11.9,-9.76,1.37,48.8,71.2,-12.8,9.87,2.07,3.23,0.91,5.25,1.28,0.66,0.22,57
831,2024,志聯,8.07,-0.12,-1.5%,2014,17.3,7.23,2,10.5,1.35,160,11.6,0.34,7.7,4.88,5.58,3.75,11.3,7.4,1.26,0.79,45
849,8182,加高,13.7,0,0%,2014,28.8,-8.75,4.77,17.1,1.35,57.9,16.6,3.66,4.72,1.99,3.3,1.3,5.19,1.78,1.26,0.46,51
1139,6145,勁永,15.2,-0.05,-0.3%,2014,75.5,-31.8,6.73,36.7,1.35,1189,8.92,4.47,1.79,1.74,2.22,2.13,2.98,2.85,0.42,0.39,51
124,2732,六角,95.9,0.9,+0.9%,2014,14.1,22.4,8.11,11.7,1.34,-0.37,57.4,-5.47,9.45,-2.77,15.5,-5.32,25.2,-7.7,5.71,-1.46,68
455,8155,博智,25.7,-0.6,-2.3%,2014,17.9,27.4,3.03,38,1.34,43.9,17,1.3,7.48,0.86,7.35,1.68,11.5,1.94,3.03,0.79,48
606,3221,台嘉碩,17.75,-0.25,-1.4%,2014,17.5,7.38,3.34,22.7,1.34,40.9,19.1,2.38,7.64,1.8,6.1,1.52,8.57,2.06,1.58,0.45,51
784,8931,大汽電,25.15,-0.65,-2.5%,2014,13.9,6.02,2.43,12.9,1.34,11.8,17.4,1.07,9.65,0.5,4.77,0.12,8.43,0.65,1.26,0.13,40
1027,2009,第一銅,9.13,-0.07,-0.8%,2014,40.9,8.2,0.349,-138,1.34,205,0.85,3.26,3.28,2.54,2.24,1.78,3.18,2.54,0.37,0.25,32
1052,1219,福壽,14.85,-0.1,-0.7%,2014,105,0.31,7.35,37.5,1.34,378,6.97,1.89,1.18,0.96,2.12,1.71,3.25,2.62,0.43,0.34,43
816,6164,華興,12.15,0.05,+0.4%,2014,18,2.87,4.91,-4.19,1.32,-16.3,27.3,-2.01,7.39,-1.67,5.46,-1.7,8.17,-2.28,1.11,-0.22,48
1104,2442,新美齊,7.65,-0.04,-0.5%,2014,9.65,21.4,2.34,26.6,1.32,19.7,24.3,0.99,14.1,-0.08,3.11,-0.29,6.56,0.73,0.72,0.08,43
811,1539,巨庭,42.05,-1.35,-3.1%,2014,25,28.2,2.6,28.7,1.31,45.3,10.4,0.04,5.25,0.62,7.2,1.85,17.2,3.47,2.01,0.63,43
657,4430,耀億,32.75,-0.35,-1.1%,2014,21.5,1.52,5.48,10.1,1.3,2.81,25.5,1.98,6.05,0.08,4.44,-0.07,7.01,-0.54,2.32,-0.06,41
168,4542,科嶠,35.1,0,0%,2014,7.63,-0.26,3.03,14.9,1.29,23.1,39.7,5.24,17,3.21,13.6,0.57,24.4,-3.29,5.62,0.69,59
482,4305,世坤,26.6,0.15,+0.6%,2014,14.3,8.74,2.29,-2.64,1.29,-8.24,16,-1.87,9.01,-1.67,12,-1.26,14.7,-1.58,2.34,-0.21,61
495,5604,中連貨,36.7,-0.6,-1.6%,2014,15.5,-3.88,4.5,-5.29,1.29,-4.97,29.1,-0.44,8.38,-0.1,3.26,-0.11,5.67,-0.22,1.19,-0.06,43
248,1777,生泰,73.3,-0.7,-0.9%,2014,6.09,21.4,2.22,46.4,1.28,65.1,36.4,6.22,21,5.56,14.2,3.13,17.8,3.05,4.93,1.83,77
605,3217,優群,15,-0.2,-1.3%,2014,12.8,-15.1,4.15,11,1.28,33.7,32.3,7.6,9.98,3.64,6.41,2.04,9.13,1.79,1.53,0.39,51
773,6215,和椿,18.5,-0.3,-1.6%,2014,20,36.9,5.3,57.9,1.28,363,26.5,3.52,6.41,4.51,5.96,4.66,11,8.43,1.54,1.21,47
922,3047,訊舟,10,-0.05,-0.5%,2014,61.4,4.74,16.3,2.43,1.28,-9.68,26.6,-0.6,2.41,0.09,3.17,0.19,5.59,0.09,0.66,-0.09,45
1137,5351,鈺創,16.8,-0.35,-2%,2014,76.1,13.6,11,9.65,1.28,1049,14.4,-0.52,1.4,1.65,1.32,1.54,2.25,2.63,0.3,0.27,40
498,8443,阿瘦,26.6,-0.9,-3.3%,2014,26.4,-17.9,14.9,-14.7,1.27,72.9,56.2,2.09,4.97,2.7,5.39,2.37,8.14,3.46,2.03,0.82,50
1044,8933,愛地雅,13.75,0.15,+1.1%,2014,42.7,-10.3,5.2,-10.1,1.27,-16.4,12.2,0.03,3.07,-0.17,2.49,-0.64,5.94,-1.92,0.87,-0.24,32
563,4973,廣穎,19.45,-0.35,-1.8%,2014,72.6,-4.88,7.23,-10.4,1.26,-53.1,9.96,-0.61,1.74,-1.79,4.51,-5.98,8.23,-10.4,2.08,-2.39,34
441,5706,鳳凰,46.55,-1,-2.1%,2014,28.8,-7.19,3.44,-21.1,1.25,-32.1,11.9,-2.09,4.41,-1.59,7.37,-3.07,10.5,-4.26,2.07,-0.96,50
856,2365,昆盈,9.75,-0.15,-1.5%,2014,76,-13,14.1,-9.52,1.25,3243,18.5,0.7,1.67,1.47,1.75,1.5,2.85,2.45,0.42,0.41,47
118,4153,鈺緯,98.1,-1.4,-1.4%,2014,9.36,20.4,2.83,44.4,1.24,90.1,30.3,5.03,13.3,4.86,15.9,6.46,29.2,11.8,4.71,1.68,61
594,6154,順發,20.9,0,0%,2014,54.4,-5.21,8.01,-5.37,1.24,-10.7,14.7,-0.02,2.29,-0.14,6.51,-0.68,9.61,-1.28,1.55,-0.19,49
760,4162,智擎,228.5,-3.5,-1.5%,2014,2.29,512,2.22,1192,1.24,-205,96.9,51,54,369,4.35,8.64,4.38,8.71,1.23,2.49,83
486,4953,緯軟,31.95,-0.05,-0.2%,2014,24.8,14.5,4.82,21.7,1.23,106,19.4,1.16,4.95,2.2,7.61,3.06,13.4,5.4,2.89,1.29,49
678,2375,智寶,14.8,0.5,+3.5%,2014,16.3,-6.76,2.76,-1.11,1.23,-79.3,16.9,0.97,7.52,-26.4,4.55,-17.3,5.79,-25.3,1,-3.37,53
982,3455,由田,28.25,-0.6,-2.1%,2014,15.1,18.4,6.43,34.4,1.23,-304,42.6,5.09,8.13,12.8,5.21,7.93,7.84,11.7,2.01,3,51
228,5251,天鉞電,41.3,-0.5,-1.2%,2014,9.42,-23.2,2.96,-19.2,1.22,-28,31.4,1.56,13,-0.86,11.9,-7.46,15.9,-12.5,4.01,-3.34,66
610,6155,鈞寶,19.15,0.35,+1.9%,2014,6.73,-4.27,1.67,-19.4,1.21,1.02,24.9,-4.66,18,0.94,5.59,-0.31,8.18,-0.31,1.45,0,57
777,8011,台通,26.95,0.2,+0.7%,2014,20.5,17.2,3.59,-8.57,1.21,-26.9,17.5,-4.94,1.06,-5.6,0.48,-3.43,0.79,-5.32,1.38,-0.73,49
893,2302,麗正,6.6,-0.13,-1.9%,2014,6.14,-1.65,1.52,71.9,1.2,364,24.8,10.6,19.5,15.4,5.56,4.33,7.05,5.43,0.74,0.58,45
1123,1305,華夏,11.05,-0.4,-3.5%,2014,146,2.6,11.4,-42.1,1.19,-84.2,7.81,-6.03,0.84,-4.9,1.07,-6.15,1.98,-11.5,0.25,-1.42,40
530,1787,福盈科,22,1,+4.8%,2014,13.7,3.11,4.54,12.8,1.18,37.1,33.1,2.85,8.84,1.66,7.49,1.58,10.9,2.53,1.69,0.46,55
848,6208,日揚,12.75,0,0%,2014,14.1,3.38,3.89,3.41,1.18,19.8,27.6,0.01,8.36,1.15,5.15,0.78,6.84,0.82,1.02,0.17,55
592,3360,尚立,19.5,0,0%,2014,130,53.3,4.92,201,1.17,-189,3.78,1.85,0.9,2.45,2.7,6.25,13.2,32.5,1.9,4.39,34
596,8027,鈦昇,31.5,-1.5,-4.5%,2014,19.9,51.6,5.85,73.5,1.17,373,29.3,3.69,5.86,3.95,7.95,5.76,16.7,11.9,2.55,1.97,39
803,3068,美磊,30,-0.15,-0.5%,2014,26.7,0.18,4.11,-10.1,1.17,8.58,15.4,-1.76,4.38,0.34,2.8,0.23,8.64,-0.17,1.4,0.02,34
954,1568,倉佑,18.1,-0.4,-2.2%,2014,22.4,23.3,3.46,21.1,1.17,36.9,15.5,-0.29,5.02,0.67,4,0.95,8.29,1.47,1.18,0.25,34
569,6404,F-通訊,56.6,-1,-1.7%,2014,8.55,12.2,3.08,12.3,1.16,-44.4,36,0.02,13.6,-13.8,8.99,-20.9,10.4,-29,3.26,-7.63,66
712,1710,東聯,24.7,-0.3,-1.2%,2014,141,-8.47,11.6,-48.5,1.16,-90.8,8.25,-6.41,0.45,-7.75,0.21,-5.39,0.34,-7.35,0.13,-1.32,36
779,8079,誠遠,13.75,-0.1,-0.7%,2014,5.34,2.44,2.02,9.05,1.16,0.42,37.9,2.3,21.8,-0.44,9.01,-0.06,9.96,-0.12,1.45,0.01,73
1045,9944,新麗,41.4,0.85,+2.1%,2014,41.4,4.61,7.67,13.5,1.16,9.54,18.5,1.44,3.29,0.09,2.71,-0.02,4.71,-0.06,1.12,0.07,45
502,1730,花仙子,32.8,-0.95,-2.8%,2014,16,4.92,7.34,7.74,1.15,-42.3,46,1.2,7.47,-5.59,7.85,-7.41,11.6,-11.1,2.14,-1.58,57
995,4956,光鋐,15.1,0.25,+1.7%,2014,15.6,18,3.28,39.2,1.15,90.8,21,3.2,7.39,2.82,3.7,1.59,5.76,2.66,1.15,0.55,47
263,4995,晶達,38.8,-0.5,-1.3%,2014,8.38,54.1,2.87,60.8,1.14,156,34.2,1.42,13.6,5.39,18.2,10,23.7,13.5,3.33,2.02,66
573,8054,安國,23,0.35,+1.5%,2014,27.3,-2.41,8.87,-2.8,1.14,-34.7,32.6,-0.13,2.67,-2.86,2.48,-3.14,3.17,-4.02,1.46,-0.75,55
608,4721,美琪瑪,21,0.5,+2.4%,2014,26.6,23.4,2.01,26.7,1.14,41,7.53,0.19,4.29,0.54,6.61,2.06,10.7,2.77,1.53,0.45,51
593,5520,力泰,26.95,0.15,+0.6%,2014,24,-13.3,1.27,-48.2,1.13,-28.5,5.3,-3.58,4.7,-1,4.54,-1.61,6.06,-2.27,1.58,-0.64,38
351,4984,F-科納,31.9,-0.3,-0.9%,2014,11.2,12.9,4.63,55.7,1.12,5424,41.5,11.4,10.1,9.87,6.5,6.37,7.24,7.11,2.49,2.44,68
737,3029,零壹,20.7,0.45,+2.2%,2014,49.7,15.4,4.37,15.1,1.12,35.8,8.79,-0.02,2.24,0.33,3.51,0.46,8.1,1.97,1.18,0.31,30
814,2613,中櫃,15.2,-0.25,-1.6%,2014,26.5,4.46,2.64,18.4,1.12,39.6,9.98,1.18,4.24,1.07,1.99,0.55,4.33,1.13,1.41,0.32,36
950,1467,南緯,15.2,-0.45,-2.9%,2014,71.9,-0.74,13.8,3.21,1.12,-33.9,19.3,0.74,0.89,-0.64,0.95,-0.79,2.33,-2.14,0.57,-0.43,40
613,8074,鉅橡,21,0.15,+0.7%,2014,12.1,4.5,2.62,0.79,1.11,-5.51,21.6,-0.8,9.15,-0.22,6.1,-0.03,11.5,-1.24,1.81,-0.43,47
1028,2430,燦坤,24.5,-0.1,-0.4%,2014,234,-8.97,36.9,-7.86,1.11,-78.7,15.8,0.19,-0.18,-2.02,-0.39,-4.8,-0.88,-10.8,0.66,-2.45,32
704,4114,健喬,32.6,-0.5,-1.5%,2014,14.8,18.2,6.9,13.3,1.1,75.2,46.8,-1.99,4.17,-0.32,1.62,-0.47,2.3,-1.05,0.95,0.3,49
715,1727,中華化,17.45,0,0%,2014,22.3,7.02,3.17,-3.66,1.1,1.19,14.2,-1.58,5.02,-0.17,5.41,-0.14,8.25,-0.13,1.05,-0.04,40
1015,1514,亞力,9.09,-0.03,-0.3%,2014,34,-1.56,4.59,4.66,1.09,56,13.5,0.8,3.26,1.29,2.4,0.86,4.14,1.47,0.55,0.19,36
790,1465,偉全,15.9,-0.3,-1.9%,2014,27,1.77,3.24,-4.65,1.08,3.7,12,-0.81,5.8,0.42,5.36,0.49,6.63,0.22,1.05,-0.16,51
506,8099,大世科,19.7,0,0%,2014,34.3,5.74,6.77,11.1,1.07,-8.11,19.8,0.96,3.12,-0.47,5.25,-1.11,10.7,-1.28,1.59,-0.14,40
806,6227,茂綸,14.9,0.4,+2.8%,2014,42.9,42.9,4.28,35.2,1.07,166,9.97,-0.57,2.49,1.16,5.21,2.83,8.45,5.15,1.41,0.88,27
1129,2481,強茂,10.5,-0.1,-0.9%,2014,173,26.3,31.6,82.5,1.07,-140,18.2,5.61,-0.06,5.63,-0.04,3.3,-0.12,9.48,0.28,1.01,26
210,4138,曜亞,69.5,-0.6,-0.9%,2014,12,34.1,3.95,36.8,1.06,157,32.8,0.65,9.16,4.96,6.48,4.2,9.56,6.04,4.02,2.46,55
694,5410,國眾,12.3,-0.25,-2%,2014,23.6,21.6,4.8,8.85,1.06,21.2,20.4,-2.39,4.49,-0.01,6.13,0.87,9.83,1.55,1.18,0.21,45
780,8403,盛弘,38.65,-0.75,-1.9%,2014,19.7,5.57,3.78,11.8,1.06,19.2,19.2,1.06,5.75,0.7,4.52,0.09,9.02,1.2,1.81,0.17,38
897,3141,晶宏,17.4,-1.25,-6.7%,2014,10.1,11.3,4.64,18.4,1.06,91.2,46.2,2.8,10.5,4.4,8.5,3.28,9.98,3.96,1.08,0.45,59
554,3577,泓格,36.75,-0.05,-0.1%,2014,7.57,4.26,4.16,7.04,1.05,18.9,55,1.43,13.8,1.7,9.78,0.56,12.9,1.68,2.39,0.38,60
427,3588,通嘉,33,-0.35,-1%,2014,10.7,1.05,3.84,-0.34,1.04,-7.93,35.8,-0.5,9.7,-0.95,7.45,-0.96,8.82,-0.99,2.3,-0.21,61
572,8048,德勝,45.35,0.75,+1.7%,2014,10.6,38.9,2.62,29.5,1.04,71.1,24.8,-1.81,9.82,1.85,11.2,3.81,15.6,5.68,2.01,0.74,57
634,1410,南染,24.8,-0.1,-0.4%,2014,6.38,5.67,2,12.7,1.04,7.37,31.4,1.95,17.5,0.64,7.04,0.94,8.64,1.22,1.21,0.13,66
744,3362,先進光,17.4,0,0%,2014,14.8,16.3,3.55,4.08,1.04,19.3,24,-2.83,7.05,0.18,5.37,0.03,9.82,0.08,1.33,0.22,48
775,6284,佳邦,31.8,-1.6,-4.8%,2014,33.7,20.1,7.06,14.9,1.04,114,21,-0.94,3.08,1.35,1.83,0.77,3.7,1.78,1.1,0.58,43
1063,1419,新紡,37.35,-0.2,-0.5%,2014,11.8,17,2.89,16.9,1.04,-36.6,24.5,-0.01,8.87,-7.48,0.94,-0.73,1.43,-1.1,0.35,-0.2,38
671,8401,白紗科,14.5,0,0%,2014,14.2,6.01,3.79,13.1,1.03,-281,26.6,1.66,7.23,11.5,6.78,10.7,13.6,22.2,1.97,3.14,51
751,3550,聯穎,13.05,0.05,+0.4%,2014,41.1,-1.54,6.45,4.7,1.03,12.9,15.7,0.93,2.6,0.28,2.74,0.2,4.6,0.26,1.21,0.14,47
522,8088,品安,18.3,-0.05,-0.3%,2014,30,-12.9,1.94,-41,1.02,-51.5,6.46,-3.08,3.41,-2.71,8.54,-8.39,11,-10.7,1.77,-1.89,55
532,2236,F-百達,38.55,0.55,+1.4%,2014,16.6,25.9,5,21.2,1.02,-57.6,30.2,-1.18,7.55,-12.6,7.3,-10.3,11.7,-16.1,3.46,-4.97,49
699,3218,大學光,28.3,0.25,+0.9%,2014,9.88,7.87,5.45,5.46,1.02,17.4,55.2,-1.26,10.3,0.84,6.41,-0.18,9.07,0.9,1.54,0.23,62
942,1463,強盛,17.8,-0.55,-3%,2014,5.35,-42.5,1.07,22.5,1.02,89.4,20,10.6,16.7,10.4,2.73,0.83,4.28,1.51,0.63,0.3,49
236,8435,鉅邁,52,0.6,+1.2%,2014,6.37,4.39,3.33,1.28,1.01,-8.03,52.2,-1.6,15.8,-2.13,11.6,-1.4,13.6,-1.83,3.27,-0.43,73
376,5493,三聯,35.1,-0.35,-1%,2014,18.3,-3.98,4.31,-1.17,1.01,-15.9,23.6,0.67,12.1,-0.07,7.55,-0.62,12.7,-1.03,2.44,-0.47,55
552,3466,致振,28.85,-0.1,-0.3%,2014,22.9,22.9,3.8,28.9,1.01,10.9,16.6,0.77,4.38,-0.48,4.26,0.19,6.04,0.38,1.67,0.16,49
391,4972,湯石,36.6,-1,-2.7%,2014,11.7,11,3.38,5.48,1,37.4,28.8,-1.51,8.55,1.64,7.45,1.24,9.52,1.53,2.76,0.57,55
850,8354,冠好,15.65,-0.1,-0.6%,2014,11.4,8.53,2.49,44.2,0.996,-44.1,21.9,5.41,8.73,-8.22,4.12,-4.02,7.54,-7.58,1.56,-1.42,51
1088,3276,宇環,11.75,-0.15,-1.3%,2014,9.5,14.8,1.11,21.2,0.986,9999,11.7,0.61,10.4,10.3,6.98,6.94,13.4,13.3,1.41,1.4,49
238,4175,杏一,79.3,-0.2,-0.3%,2014,36.1,7.13,11.2,6.44,0.984,-6.27,31,-0.2,2.69,-0.38,6.27,-0.86,19.1,-11.2,4.04,-0.67,51
733,2712,遠雄來,23.25,-0.35,-1.5%,2014,6.03,16,2.42,23.1,0.983,50.8,40.2,2.32,16.3,3.76,5.99,2.09,7.54,2.46,0.94,0.26,61
180,8066,來思達,113,-2,-1.7%,2014,56.8,402,5.95,279,0.979,654,10.5,-3.42,1.77,0.51,14.7,11.1,30,24.6,4.71,3.82,53
717,1813,寶利徠,25.65,-0.45,-1.7%,2014,3.73,-11.7,0.882,-24.7,0.976,0.66,23.6,-4.08,26.2,3.21,9.2,0.25,10.1,-1.32,2.09,-0.04,72
313,5245,智晶,40.95,-0.4,-1%,2014,9.6,10.1,2.51,84.8,0.975,307,26.1,10.6,10.2,7.41,14.4,10.8,20.8,15.5,2.79,2.12,61
655,3594,磐儀,33.05,-0.45,-1.3%,2014,14.6,13.7,5.61,16.7,0.975,38.7,38.4,0.99,6.12,0.69,6.16,0.17,10.5,-0.04,2.02,0.42,49
917,2453,凌群,10.9,-0.3,-2.7%,2014,46.3,-4.91,10.2,2.24,0.972,2.5,22,1.54,2.12,0.17,2.88,-0.06,5.66,0.04,0.97,0.02,43
627,3553,力積,20.6,-0.4,-1.9%,2014,26.5,23,4.56,16.2,0.966,46,17.2,-1,3.65,0.57,6.71,1.78,10.3,2.63,1.44,0.41,51
439,5536,聖暉,67.3,0.3,+0.4%,2014,75.8,-12.4,6.22,-40.1,0.948,-79.7,8.21,-3.79,1.17,-4.21,1.28,-5.42,3.2,-13.4,2.06,-8.05,38
564,5230,雷笛克,51.1,-0.4,-0.8%,2014,13.3,15.8,5.08,2.18,0.944,-29,38.2,-5.11,7.1,-4.49,3.77,-2.83,7.38,-4.21,2.13,-1.09,45
660,4541,晟田,30.35,-1,-3.2%,2014,10.4,16.3,2.46,-2.67,0.94,-4.67,23.6,-4.6,9.03,-1.99,3.84,-0.61,8.9,-1.78,2.02,-0.21,50
164,3570,大塚,82,-2.6,-3.1%,2014,8.83,16.2,3.76,12.9,0.938,18.8,42.5,-1.21,10.6,0.23,14.2,0.92,18.4,1.63,5.49,0.87,66
887,6180,橘子,40.6,0.4,+1%,2014,90.7,10.1,15.9,-19.7,0.933,26.2,17.5,-6.52,1.15,0.46,2.09,0.82,4.11,1.82,0.59,0.12,38
567,6123,上奇,23.9,-0.65,-2.6%,2014,40.8,14.8,7.99,26.8,0.931,47.6,19.6,1.86,3,1.06,4.29,1.51,9.46,2.56,1.69,0.37,40
686,3581,博磊,18.6,0.1,+0.5%,2014,8.8,-19.5,3.09,-23.3,0.93,77.3,35.1,-1.71,10.6,5.77,10.2,4.68,15.1,6.64,2.04,1.05,55
599,1258,F-其祥,40.7,-1.2,-2.9%,2014,13.1,3.99,3.73,18.7,0.929,60.7,28.5,3.53,7.09,2.5,10.8,-3.44,14.8,-4.81,2.73,1.03,59
356,1259,安心,66.3,0.4,+0.6%,2014,42.5,-1.21,10.8,4.08,0.927,17,25.5,1.3,1.06,0.51,1.86,0.9,2.79,1.35,2.86,0.41,55
939,1713,國化,16.6,-0.05,-0.3%,2014,7.49,13.4,1.25,23.1,0.92,20.7,16.7,1.32,12.3,0.74,3.8,0.63,4.1,0.69,0.61,0.1,55
284,3672,康聯訊,42.95,-0.7,-1.6%,2014,7.49,38.4,2.72,42.1,0.914,86.6,36.4,0.93,12.7,3.39,20.3,6.43,31.3,9.55,3.66,1.63,68
1055,2461,光群雷,13.75,-0.05,-0.4%,2014,42.2,3.35,11.2,10.3,0.907,-60.2,26.6,1.68,4.57,-2.99,3.27,-2.28,5.67,-4.66,0.56,-0.93,40
1039,6161,捷波,7.68,-0.03,-0.4%,2014,44.9,-27.2,2.65,-9.13,0.905,80.2,5.9,1.17,2.01,1.2,3.08,1.43,6.24,2.55,0.75,0.33,40
974,3031,佰鴻,13.15,-0.25,-1.9%,2014,24.5,-11.3,3.67,-10.5,0.903,179,15,0.12,0.65,1.32,0.42,0.83,0.53,1.18,0.46,0.3,49
487,5291,邑昇,26.1,-0.5,-1.9%,2014,15,0.26,2.71,10.7,0.893,1.45,18.1,1.7,5.96,0.07,6.95,0.03,14,-3.55,3.05,-0.09,45
586,3312,弘憶股,10.7,0.1,+0.9%,2014,183,16.3,6.82,7.79,0.882,-17.1,3.72,-0.29,0.48,-0.39,1.51,-1.9,5.13,-4.07,0.93,-0.24,28
1079,1457,宜進,13,-0.1,-0.8%,2014,44.2,0.03,3.07,166,0.881,-51.5,6.95,4.34,2.32,-1.82,1.25,-1.06,2.43,-2.37,0.34,-0.38,36
805,5460,同協,14.8,-0.05,-0.3%,2014,10.5,19.4,2.61,30.6,0.88,67.1,24.8,2.13,8.37,2.39,6.7,2.51,9.13,3.47,1.22,0.49,55
845,6109,亞元,13.55,-0.2,-1.5%,2014,22.3,19.4,3.51,47.6,0.879,-317,15.7,3,3.92,6.24,5.57,8.43,11.2,17,1.21,1.77,47
1128,2460,建通,10.15,-0.15,-1.5%,2014,39.5,-1.91,5.27,15.2,0.878,497,13.4,1.98,2.23,1.86,1.44,1.2,2.9,2.38,0.51,0.42,39
996,5317,凱美,11.5,0.05,+0.4%,2014,17.8,-7.76,3.43,-4.05,0.87,-12.1,19.3,0.75,4.88,-0.24,3.6,-0.45,5.01,-1.12,0.65,-0.09,51
479,3297,杭特,21.15,-0.45,-2.1%,2014,7.36,-18.7,2.7,-17.6,0.867,-35.7,36.6,0.48,11.8,-3.12,7.65,-4.2,9.38,-5.75,2.41,-1.43,66
571,6426,統新,32.2,0.2,+0.6%,2014,4.95,13.2,1.73,0.62,0.865,47.9,34.9,-4.38,15.8,2.9,10.8,2.59,15.1,2.06,3,0.93,70
550,3232,昱捷,36.5,-0.5,-1.4%,2014,8.57,-15,1.9,49.7,0.864,205,22.1,9.56,10.1,7.27,15,10.9,22.6,14,2.74,1.84,60
789,6266,泰詠,13.25,0,0%,2014,19.7,12.4,2.1,37.4,0.859,67.8,10.6,1.94,4.36,1.44,4.9,1.8,6.78,2.5,1.06,0.41,45
370,2924,F-東凌,76,-0.6,-0.8%,2014,15.3,-0.52,9.92,0.48,0.855,-35.4,64.8,0.65,5.58,-3.01,6.78,-5.21,9.79,-8.2,2.49,-1.67,52
860,6194,育富,18.95,0,0%,2014,5.23,-31.2,1.17,-27.2,0.852,0.68,22.4,1.23,16.3,5.15,2.93,0.1,3.14,0.03,0.82,0.02,66
585,3306,鼎天,28.7,0.15,+0.5%,2014,13.8,-2.56,3.12,-3.44,0.832,-18.8,22.6,-0.21,6.01,-1.2,4.37,-1.19,5.28,-1.47,1.64,-0.38,55
677,3094,聯傑,21.6,-0.75,-3.4%,2014,3.22,-7.97,2.26,-8.02,0.832,15.6,70,-0.04,25.8,5.27,6.21,0.82,6.57,0.87,1,0.13,79
1081,1615,大山,10.65,0,0%,2014,27.3,-5.92,1.43,4.17,0.832,172,5.25,0.51,3.05,2,3.66,2.37,5.72,3.58,0.74,0.47,36
1138,5465,富驊,14.2,0.4,+2.9%,2014,24.3,24.9,4.43,18,0.832,136,18.3,-1.06,3.66,1.74,2.91,1.38,5.32,2.8,0.58,0.35,43
763,4720,德淵,15.65,0.05,+0.3%,2014,23.1,8.67,4.75,0.46,0.827,62.5,20.6,-1.68,3.66,1.21,4.82,1.72,8.48,3.1,1.1,0.42,43
1102,3494,誠研,11.35,0.15,+1.3%,2014,22.4,8.43,6.11,37,0.826,-230,27.3,5.7,3.86,8.84,2.1,4.83,3.17,7.42,0.47,0.9,48
905,6603,富強鑫,12.45,0,0%,2014,29.4,9.58,7.01,22.1,0.823,63.1,23.8,2.45,3.08,1.27,2.07,0.93,4.78,2.06,0.7,0.26,36
629,4129,聯合,46.35,-0.8,-1.7%,2014,11,15.1,7.63,26.8,0.817,283,69.3,6.4,7.42,5.19,4.45,3.04,8.78,5.91,1.52,1.11,49
884,4939,亞電,11.25,-0.15,-1.3%,2014,19.4,8.33,3.93,-1.04,0.817,-12.7,20.3,-1.92,4.21,-1.02,2.93,-0.68,5.8,-1.88,0.9,-0.18,34
774,6218,豪勉,17.8,-0.3,-1.7%,2014,10.5,-5.69,4.16,-13.9,0.812,-1.29,39.6,-3.77,7.73,0.34,5.58,-0.15,8.11,-0.08,1.26,-0.02,47
888,6237,驊訊,24.8,1.1,+4.6%,2014,3.62,-5.93,2.24,-4.99,0.807,2385,61.9,0.62,22.3,21.5,5.22,5.01,5.52,5.29,1.05,1.01,68
912,1731,美吾華,14,-0.2,-1.4%,2014,12.3,-18.5,5.64,6.4,0.805,26.7,45.7,10.7,6.53,2.33,3.17,0.66,4.73,0.94,0.61,0.13,51
874,3021,鴻名,12.05,-0.2,-1.6%,2014,16.5,14.7,4.09,18.4,0.803,66.5,24.8,0.78,4.87,1.52,4.76,1.72,6.83,2.5,0.75,0.3,47
672,9950,萬國通,25,0,0%,2014,35.2,3.94,5.97,12.6,0.8,43.9,16.9,1.3,2.27,0.63,3.06,0.68,8.92,0.9,1.7,0.45,36
1098,8049,晶采,7.27,0.01,+0.1%,2014,13.4,-3.24,2.24,8.1,0.794,26.9,16.7,1.75,5.92,1.41,4.84,0.94,6.38,0.62,0.66,0.08,53
651,3526,凡甲,22.35,-0.35,-1.5%,2014,17,5.8,4.84,13.7,0.784,1714,28.4,1.96,4.6,4.33,4.1,3.88,6.47,6.09,1.29,1.22,47
836,3002,歐格,12,-0.05,-0.4%,2014,5.12,6.94,1.56,6.71,0.782,54,30.5,-0.07,15.2,4.66,4.6,1.48,5.77,1.88,0.77,0.27,62
1099,8163,達方,15.75,-0.3,-1.9%,2014,216,-8.18,24.3,1.99,0.781,2991,11.2,1.12,0.36,0.35,0.43,0.41,0.89,0.84,0.24,0.23,36
422,3291,遠翔科,21.2,-0.6,-2.8%,2014,8.85,-33,2.83,-33.4,0.778,-56.3,32,-0.18,8.79,-4.68,9.79,-11,12,-14.2,2.19,-2.88,55
426,3438,類比科,25.8,-0.25,-1%,2014,10.6,-6.25,2.66,-6.54,0.778,18.5,25.1,-0.08,7.35,1.53,4.82,0.79,7.16,1.03,2.01,0.31,45
229,4965,商店街,166.5,-3.5,-2.1%,2014,9.94,37.4,2.67,6.58,0.771,-2.43,26.9,-7.78,5.87,-3.8,4.97,-2.86,8.21,-4.31,3.94,-0.54,46
762,4706,大恭,15.8,0,0%,2014,15.2,-6.12,2.7,-6.63,0.769,-23.6,17.8,-0.1,5.07,-1.16,4.36,-1.65,5.8,-1.84,0.97,-0.3,45
420,3118,進階,33.5,0.4,+1.2%,2014,5.33,0.82,2.06,8.07,0.768,18.9,38.7,2.6,14.4,2.19,11.5,1.65,15.4,2.17,2.37,0.38,66
