排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
1003,6125,廣運,11.6,-0.15,-1.3%,2014,103,29.1,10.6,135,1.84,-141,10.4,4.67,2.58,7.55,1.77,4.45,3.67,9.93,0.74,2.57,45
375,5464,霖宏,20,0,0%,2014,14.8,-3.54,1.45,-4.36,1.83,48.3,9.75,-0.08,12.4,4.32,6.13,1.95,15.4,3.2,2.71,0.67,51
691,9918,欣天然,32.4,-0.3,-0.9%,2014,27.9,3.92,4.68,16.7,1.83,-14.8,16.8,1.84,6.56,-1.44,4.58,-0.96,6.44,-1.01,1.03,-0.18,43
440,5603,陸海,19.25,-0.25,-1.3%,2014,25,15.4,4.05,70.5,1.82,357,16.2,5.23,7.56,5.72,8.03,6.24,16.9,12.7,2.76,2.13,47
476,1817,凱撒衛,37.7,-0.2,-0.5%,2014,19.5,12.2,5.86,9.34,1.82,10,30.1,-0.77,9.35,-0.18,10.8,-0.39,13.5,-0.91,2.51,-0.03,59
1083,1810,和成,8.45,-0.15,-1.7%,2014,59.8,-0.58,16.2,-3.61,1.82,1.3,27,-0.85,3.13,0.19,1.62,0.05,3.25,0.09,0.49,0,43
82,4987,科誠,85.8,-0.1,-0.1%,2014,12.4,29.2,4.75,27.3,1.81,20.4,38.3,-0.58,14.6,-1.08,14.6,0.67,23.4,1.41,7.52,1.27,64
126,3527,聚積,54.7,0,0%,2014,21.5,-0.35,7.33,6.21,1.81,13.7,34.2,2.11,8.55,2.05,8.66,1.9,12,2.99,5.53,0.67,57
149,3491,昇達科,84.5,-1.2,-1.4%,2014,12.6,15.6,4.56,17.5,1.81,17.5,36.3,0.6,14.5,0.03,10.3,0.6,12.7,-0.14,3.57,0.3,66
511,2488,漢平,28,0.4,+1.4%,2014,20.2,-15,4.44,-23.1,1.81,-33.9,22,-2.33,9.03,-2.54,6.98,-4.58,10.9,-7.12,2.26,-1.17,55
619,2483,百容,19.15,-0.45,-2.3%,2014,16.3,2.64,4.03,21,1.81,48.3,24.6,3.74,11.2,3.35,6.86,2.11,7.97,2.37,1.63,0.53,57
560,4722,國精化,26.8,-0.45,-1.7%,2014,50,2.85,6,8.14,1.79,27.7,12,0.59,3.58,0.7,5.41,0.92,10.2,0.92,2.03,0.4,40
745,3428,光燿科,46.9,0,0%,2014,14,24.7,4.69,14.8,1.79,53.7,33.5,-2.87,12.8,2.4,7.06,0.83,10.5,0.13,2.3,0.72,61
483,4527,方土霖,26.65,-0.25,-0.9%,2014,24.7,11,6.14,5.01,1.78,12.8,24.9,-1.42,7.36,-0.12,8.46,0.42,14,-0.9,2.34,0.19,49
540,2546,根基,16.95,-0.2,-1.2%,2014,55.2,-7.51,3.77,41.7,1.78,0.02,6.83,2.37,3.22,0.24,3.99,0.03,8.28,-0.36,1.68,0,36
754,4106,雃博,39.95,-1.5,-3.6%,2014,22.6,12.2,10.5,23,1.78,33.7,46.2,4.05,8.75,1.5,8.01,1.63,10.4,1.85,2.14,0.54,57
725,2423,固緯,18.25,-0.15,-0.8%,2014,21.7,3.38,10.1,8.28,1.77,45.2,46.5,2.11,8.08,2.46,5.95,1.68,9.14,2.59,1.35,0.35,49
938,1459,聯發,15.25,0.45,+3%,2014,40.7,-0.5,1.77,94.3,1.76,-0.14,4.35,2.12,4.35,0.04,2.36,-0.07,4.36,-0.18,0.56,0,45
316,3528,安馳,38.3,-0.1,-0.3%,2014,31.9,25.4,4.6,24.9,1.75,19.5,14.4,-0.05,5.48,-0.27,8.64,-0.05,15.8,1.91,3.19,0.4,34
993,4934,太極,14.3,-0.2,-1.4%,2014,65.5,27.3,4.49,4.09,1.75,-19.8,6.85,-1.53,2.67,-1.57,2.5,-0.7,4.47,-2.79,0.66,-0.38,47
402,2064,晉椿,19,-1.05,-5.2%,2014,28,-1.62,2.91,11.4,1.74,27.8,10.4,1.21,6.23,1.43,6.47,1.08,12.9,1.77,2.82,0.6,49
707,1452,宏益,36.8,-0.8,-2.1%,2014,21.2,-1.56,2.42,35.3,1.74,26.8,11.4,3.11,8.2,1.84,7.35,1.49,8.11,1.58,1.31,0.28,51
1154,3704,合勤控,12.7,-0.3,-2.3%,2014,213,21.9,53,30.8,1.74,-49.3,24.9,1.69,0.84,-1.15,1.09,-1.27,1.79,-1.78,0.37,-0.35,38
1042,8261,富鼎,25.8,0.1,+0.4%,2014,20.6,2.48,3.91,109,1.73,-248,19,9.65,8.41,14.2,6.66,11.5,7.91,13.9,0.96,1.74,53
197,3563,牧德,42.5,0.6,+1.4%,2014,6.54,-8.68,3.63,-16,1.72,-16.3,55.4,-4.83,26.3,-2.39,13.9,-6.37,16.9,-8.5,4.03,-1.34,77
562,4971,F-IET,83.2,-2.6,-3%,2014,6.56,15,2.46,2.37,1.72,63.3,37.5,-4.61,26.3,7.78,15.7,0.51,19.1,2.71,5.74,1.93,70
644,2722,夏都,46.45,-0.15,-0.3%,2014,7.14,7.66,4.17,13,1.72,21.4,58.4,2.76,24.1,2.73,10.6,1.5,12.1,1.74,1.93,0.26,68
899,1725,元禎,13.3,-0.1,-0.7%,2014,105,4.49,4.14,17.5,1.72,38,3.95,0.44,1.64,0.4,3.51,0.86,7.05,1.29,0.94,0.26,43
653,3548,兆利,23.85,-0.25,-1%,2014,37.3,19.2,7.4,6.32,1.71,16.7,19.8,-2.41,4.5,-0.12,4.06,0.09,6.85,0.55,3.38,0.49,45
