3587,閎康,3.77,2.84
3594,磐儀,1.87,1.31
3609,東林,0,0.72
3611,鼎翰,3.9,4.67
3615,安可,1.65,0.5
3623,富晶通,9.26,2.91
3624,光頡,8.71,1.34
3625,西勝,0,1.01
3628,盈正,7.5,1.15
3629,卓韋,0,4.15
3630,新鉅科,0,0.85
3631,晟楠,0,1.14
3632,研勤,0,1.54
3642,駿熠電,0,1.37
3646,艾恩特,7.75,1
3652,精聯,3.99,0.72
3658,漢微科,1.2,7.35
3662,樂陞,1.42,2.15
3663,鑫科,0,1.02
3666,光耀,4.52,1.12
3672,康聯訊,7.04,1.93
3675,德微,2.56,1.13
3680,家登,1.54,1.89
3684,榮昌,7.86,2.53
3685,政翔,0,4.47
3687,歐買尬,0,1.61
3689,湧德,5.14,0.78
3691,碩禾,4.21,3.91
3693,營邦,5.66,1.92
3707,漢磊,0,0.79
4102,永日,0,1.63
4103,百略,4.84,2.59
4105,東洋,3.06,5.37
4107,邦特,1.66,5.46
4109,穆拉德,2.32,1.67
4111,濟生,2.63,1.29
4113,聯上,7.96,0.57
4114,健喬,0,1.86
4116,明基醫,2.57,2.5
4120,友華,3.31,1.52
4121,優盛,0,0.96
4123,晟德,0,2.57
4126,太醫,2.14,3.63
4127,天良,1.59,1.03
4128,中天,0,1.4
4129,聯合,1.95,3.18
4130,健亞,1.06,1.8
4131,晶宇,0,2.13
4138,曜亞,5.76,1.41
4147,中裕,0,11.48
4152,台微體,0,3.13
4153,鈺緯,5.98,2.18
4160,創源,0,2.1
4161,聿新科,0.83,2.93
4162,智擎,1.76,7.36
4163,鐿鈦,2.61,4.78
4167,展旺,0,3.55
4168,醣聯,0,1.37
4171,瑞基,0,3.16
4173,久裕,1.34,0.92
4174,浩鼎,0,13.79
4175,杏一,4.43,3.28
4180,安成藥,0,2.69
4188,安克,0,3.79
4192,杏國,0,2.65
4198,環瑞醫,0,3.2
4205,中華食,4.75,2.39
4207,環泰,0,1
4303,信立,4.35,1.27
4304,勝昱,0,0.87
4305,世坤,7.67,1.67
4401,東隆興,3.96,4.16
4402,福大,0,1.86
4406,新昕纖,0,0.98
4413,飛寶,0,8.87
4415,台原藥,0,49.33
4416,三圓,5.63,1.81
4417,金洲,5.16,1.44
4419,松懋,0,1.91
4420,光明,0,1.93
4429,聚紡,2.2,0.73
4430,耀億,4.36,0.79
4432,銘旺實,5.76,2.26
4433,興采,3.17,1.38
4502,健信,0,3.99
4503,金雨,0,2.47
4506,崇友,6,1.53
4510,高鋒,4.65,0.81
4513,福裕,5.4,0.75
4523,永彰,1,0.66
4527,方土霖,7.35,1.45
4528,江興鍛,3.95,2.26
4529,昶洧,0,1.5
4530,宏易,0,0.76
4533,協易機,3.76,0.79
4534,慶騰,1.49,2.76
4535,至興,5.43,1.36
4541,晟田,2.69,1.32
4542,科嶠,3.4,0.93
4543,萬在,0,0.9
4549,桓達,4.05,2.23
4550,長佳,6.07,1.05
4556,旭然,2.21,1.93
4609,唐鋒,0,0.89
4702,中美實,0,0.65
4706,大恭,4.74,1.09
4707,磐亞,7.31,0.51
4711,永純,4.91,0.77
4712,南璋,0,1.32
4714,永捷,5.64,0.66
4716,大立,5.15,0.8
4721,美琪瑪,3.59,2.58
4726,永昕,0,4.03
4728,雙美,0,4.37
4729,熒茂,0,0.86
4735,豪展,3.34,2.25
4736,泰博,3.37,3.52
4739,康普,3.23,1.64
4743,合一,0,2.22
4747,強生,4.39,1.42
4806,昇華,1.81,1.87
4903,聯光通,1.08,1.38
4905,台聯電,1.98,0.57
4907,富宇,0,1.34
4908,前鼎,2.33,1.09
4909,新復興,5.54,0.82
4911,德英,0,8.11
4933,友輝,6.16,0.54
4939,亞電,0,0.54
4944,兆遠,0,0.51
4946,辣椒,0,2.84
4950,牧東,3.33,0.64
4953,緯軟,5,0.87
4965,商店街,2.3,4.16
4972,湯石,7.14,1.31
4973,廣穎,5.18,0.91
4974,亞泰,9.04,1.08
4979,華星光,5.52,1.94
4987,科誠,8.9,1.59
