上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"3293","鈊象","39.91","4.50","1.50","6.90"
"3294","英濟","167.50","0.30","2.24","0.71"
"3297","杭特","20.35","0.80","4.57","0.73"
"3299","帛漢","10.38","4.84","9.22","1.73"
"3303","岱稜","10.67","1.20","5.80","1.11"
"3306","鼎天","19.42","1.00","4.56","0.79"
"3310","佳穎","12.23","0.50","3.65","1.00"
"3313","斐成","N/A","0.00","0.00","0.46"
"3317","尼克森","N/A","0.00","0.00","0.59"
"3322","建舜電","N/A","0.00","0.00","1.00"
"3323","加百裕","22.59","1.00","5.46","0.70"
"3324","雙鴻","16.24","0.00","0.00","3.36"
"3325","旭品","61.79","0.14","0.82","1.29"
"3332","幸康","14.23","2.20","5.95","1.28"
"3339","泰谷","N/A","0.00","0.00","0.61"
"3354","律勝","61.54","0.23","2.84","0.51"
"3360","尚立","17.14","1.20","7.29","1.04"
"3362","先進光","N/A","0.00","0.00","1.23"
"3363","上詮","29.74","0.00","0.00","1.64"
"3372","典範","N/A","0.00","0.00","0.93"
"3373","熱映","16.95","1.40","4.30","1.86"
"3374","精材","N/A","0.50","2.27","1.02"
"3379","彬台","N/A","0.00","0.00","0.79"
"3388","崇越電","13.59","4.00","6.86","1.22"
"3390","旭軟","32.61","0.80","5.33","0.73"
"3402","漢科","12.85","0.85","4.83","1.01"
"3428","光燿科","16.09","2.00","3.35","2.31"
"3431","長天","N/A","0.00","0.00","1.67"
"3434","哲固","19.79","0.35","2.49","1.33"
"3438","類比科","N/A","0.30","1.68","0.67"
"3441","聯一光","N/A","0.00","0.00","0.48"
"3444","利機","16.19","1.00","5.88","1.13"
"3452","益通","N/A","0.00","0.00","1.30"
"3455","由田","11.10","2.50","8.28","1.05"
"3465","祥業","N/A","0.00","0.00","3.15"
"3466","致振","N/A","0.50","2.51","0.76"
"3479","安勤","14.15","3.60","4.96","2.41"
"3483","力致","N/A","0.10","0.65","0.39"
"3484","崧騰","13.86","2.20","5.67","1.50"
"3489","森寶","N/A","0.00","0.00","0.73"
"3490","單井","10.07","0.21","0.36","2.05"
"3491","昇達科","14.62","4.30","6.73","2.10"
"3492","長盛","12.44","1.30","3.75","2.37"
"3498","陽程","8.56","2.30","4.59","1.32"
"3499","環天科","314.00","0.00","0.00","1.38"
"3508","位速","N/A","0.00","0.00","0.57"
"3511","矽瑪","23.28","0.80","2.89","1.67"
"3512","能緹","58.80","0.00","0.00","2.02"
"3516","亞帝歐","N/A","0.00","0.00","0.36"
"3520","振維","N/A","0.00","0.00","15.03"
"3521","鴻翊","16.92","0.00","0.00","1.21"
"3522","宏森","N/A","0.00","0.00","0.96"
"3523","迎輝","N/A","0.00","0.00","2.80"
"3526","凡甲","18.68","1.50","3.65","1.94"
"3527","聚積","14.49","3.50","5.04","1.47"
