上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"6208","日揚","16.55","0.20","1.70","0.77"
"6210","慶生","9.72","4.00","9.33","1.84"
"6212","理銘","4.75","1.50","4.84","1.87"
"6217","中探針","12.46","2.80","7.18","1.59"
"6218","豪勉","15.09","1.00","6.13","1.02"
"6219","富旺","N/A","0.12","1.07","1.02"
"6220","岳豐","17.36","1.17","7.75","0.82"
"6221","晉泰","12.11","2.20","8.41","1.54"
"6222","上揚","N/A","0.00","0.00","0.97"
"6223","旺矽","24.14","3.00","3.90","1.64"
"6227","茂綸","10.33","1.00","3.53","1.46"
"6228","全譜","N/A","0.00","0.00","1.40"
"6229","研通","78.13","0.04","0.32","0.98"
"6231","系微","54.25","0.85","2.61","1.83"
"6233","旺玖","N/A","0.00","0.00","0.94"
"6234","高僑","6.27","3.00","11.88","0.77"
"6236","康呈","N/A","0.00","0.00","4.23"
"6237","驊訊","22.66","0.25","0.89","1.38"
"6238","勝麗","27.14","6.80","2.36","10.32"
"6240","松崗","124.09","0.00","0.00","2.31"
"6241","易通展","N/A","0.00","0.00","1.80"
"6242","立康","18.18","0.15","0.30","3.44"
"6244","茂迪","23.46","0.00","0.00","1.03"
"6245","立端","13.15","2.00","4.62","1.81"
"6246","臺龍","7.26","0.00","0.00","2.62"
"6247","淇譽電","8.55","0.50","4.72","0.71"
"6248","沛波","13.08","0.65","2.47","2.29"
"6259","百徽","N/A","0.00","0.00","0.90"
"6261","久元","12.37","3.30","7.06","1.02"
"6263","普萊德","11.01","3.50","7.45","2.38"
"6264","富裔","N/A","0.00","0.00","1.17"
"6265","方土昶","18.39","0.55","7.87","0.51"
"6266","泰詠","8.63","1.60","10.36","0.91"
"6270","倍微","31.18","0.50","4.72","0.62"
"6274","台燿","11.09","1.60","4.32","1.38"
"6275","元山","36.58","0.40","2.88","1.05"
"6276","安鈦克","N/A","0.00","0.00","0.57"
"6279","胡連","17.06","5.60","4.04","3.24"
"6284","佳邦","N/A","1.00","5.13","0.69"
"6287","元隆","N/A","0.00","0.00","3.16"
"6290","良維","10.52","2.01","6.21","1.15"
"6291","沛亨","N/A","0.00","0.00","1.30"
"6292","迅德","13.28","2.00","7.31","1.33"
"6294","智基","14.13","5.80","4.28","6.41"
"6298","崴強","15.41","1.00","6.62","0.92"
"6404","F-通訊","168.85","0.20","0.91","0.59"
"6411","晶焱","11.45","1.80","4.90","1.73"
"6417","韋僑","13.70","1.50","4.45","1.74"
"6419","京晨科","N/A","0.00","0.00","0.96"
"6426","統新","25.98","1.50","4.55","1.79"
"6432","今展科","9.31","2.50","8.12","1.32"
"6435","大中","12.69","3.04","7.96","1.95"
"6457","紘康","15.39","2.12","5.99","1.98"
"6462","神盾","N/A","0.00","0.00","8.72"
"6465","威潤","21.56","2.83","4.03","3.62"
"6469","大樹","21.47","0.00","0.00","2.75"
"6470","宇智","10.81","4.00","7.87","2.56"
"6482","弘煜科","18.23","0.00","0.00","2.85"
"6485","點序","13.62","4.00","4.60","2.49"
"6488","環球晶","13.44","5.00","7.40","1.45"
"6494","九齊","10.96","1.80","5.45","2.18"
"6496","科懋","25.54","2.50","3.50","2.76"
"6506","雙邦","9.71","1.00","4.98","1.35"
"6508","惠光","12.23","1.50","5.76","1.00"
"6509","聚和","20.96","0.60","3.05","1.21"
"6510","精測","48.51","6.00","0.84","9.15"
"6512","啟發電","13.55","0.00","0.00","2.05"
"6514","F-芮特","15.81","2.90","6.30","1.68"
"6523","達爾膚","27.46","0.00","0.00","6.92"
"6603","富強鑫","27.30","0.40","3.96","0.64"
"6609","瀧澤科","9.64","1.40","5.74","0.90"
"6803","崑鼎","14.04","9.69","5.48","2.47"
"7402","邑錡","47.64","2.20","2.80","4.28"
"8024","佑華","N/A","0.20","1.97","0.68"
"8027","鈦昇","N/A","0.30","1.88","1.17"
"8032","光菱","9.04","1.30","5.28","0.89"
"8034","榮群","N/A","0.00","0.00","0.78"
"8038","長園科","N/A","0.00","0.00","5.19"
"8040","九暘","N/A","0.00","0.00","0.81"
"8042","金山電","9.89","3.00","6.98","1.18"
"8043","蜜望實","8.32","0.80","5.46","0.52"
"8044","網家","42.25","6.29","1.77","6.71"
"8047","星雲","37.50","0.35","3.33","0.81"
"8048","德勝","9.81","2.80","7.57","2.23"
"8049","晶采","10.47","0.85","6.39","1.11"
"8050","廣積","14.05","3.88","6.25","2.43"
"8054","安國","37.90","1.52","8.01","0.73"
"8059","凱碩","12.47","0.50","4.61","0.91"
"8064","東捷","56.35","0.50","3.42","1.01"
"8066","來思達","11.68","8.00","8.04","4.03"
"8067","志旭","N/A","0.00","0.00","0.70"
"8068","全達","62.38","0.00","0.00","3.83"
"8069","元太","14.47","0.47","2.66","0.76"
"8071","能率豐","N/A","0.20","1.74","0.78"
"8074","鉅橡","10.44","1.49","5.72","1.49"
"8076","伍豐","73.19","1.02","1.53","3.57"
"8077","洛碁","N/A","0.00","0.00","3.76"
"8079","誠遠","13.77","0.00","0.00","1.14"
"8080","奧斯特","N/A","0.00","0.00","2.45"
"8082","漢承泰","N/A","0.00","0.00","3.98"
"8083","瑞穎","16.52","7.80","5.29","4.50"
"8084","巨虹","N/A","0.00","0.00","3.12"
"8085","福華","N/A","0.00","0.00","0.53"
"8086","宏捷科","9.22","4.75","6.93","2.84"
"8087","華鎂鑫","N/A","0.00","0.00","0.79"
"8088","品安","11.70","1.48","7.95","1.20"
"8091","翔名","9.81","3.00","5.94","1.28"
"8092","建暐","N/A","0.00","0.00","0.70"
"8093","保銳","N/A","0.00","0.00","0.66"
"8096","擎亞","10.17","1.50","8.24","0.91"
"8097","常珵","N/A","0.00","0.00","1.29"
"8099","大世科","12.90","1.00","5.62","1.23"
"8107","大億科","21.42","0.71","3.12","1.51"
"8109","博大","10.76","4.50","6.79","3.06"
"8111","立碁","N/A","0.00","0.00","0.45"
"8121","越峰","N/A","0.00","0.00","1.06"
"8147","正淩","15.28","2.00","4.90","1.78"
"8155","博智","15.86","2.00","7.01","1.05"
"8171","天宇","N/A","0.00","0.00","0.85"
"8176","智捷","16.24","0.00","0.00","0.81"
"8182","加高","13.61","0.70","5.30","0.53"
"8183","精星","N/A","0.00","0.00","0.76"
"8234","新漢","15.12","1.25","4.89","1.48"
"8240","華宏","N/A","0.50","2.84","0.38"
"8255","朋程","15.12","6.50","5.26","2.89"
"8266","中日新","6.13","0.00","0.00","2.17"
"8277","商丞","N/A","0.00","0.00","0.78"
"8287","英格爾","9.21","0.90","5.52","0.63"
"8289","泰藝","14.61","0.60","5.41","0.58"
"8291","尚茂","N/A","0.00","0.00","0.85"
"8299","群聯","13.04","12.00","4.47","2.49"
"8349","恒耀","14.81","3.50","4.56","2.45"
"8354","冠好","16.36","0.70","4.15","0.76"
"8358","金居","N/A","0.00","0.00","2.14"
"8383","千附","13.70","2.20","4.16","1.99"
"8390","金益鼎","N/A","0.20","1.49","0.71"
"8401","白紗科","16.67","0.60","5.44","0.75"
"8403","盛弘","25.06","1.50","3.67","1.66"
"8406","F-金可","19.07","6.80","2.07","2.95"
"8409","商之器","N/A","0.00","0.00","1.71"
"8410","森田","53.68","0.30","1.47","0.60"
"8416","實威","12.62","6.00","5.80","3.22"
"8418","F-必勝","N/A","0.00","0.00","0.47"
"8420","明揚","7.99","1.20","5.91","1.29"
"8421","旭源","23.25","0.50","2.03","1.98"
"8423","F-保綠","193.00","0.80","4.15","1.24"
"8424","惠普","9.82","2.50","7.03","1.42"
"8426","F-紅木","12.25","2.50","5.40","2.11"
"8431","匯鑽科","N/A","0.00","0.00","2.83"
"8432","東生華","29.09","2.10","2.18","2.82"
"8433","弘帆","19.75","5.50","3.87","5.43"
"8435","鉅邁","15.58","3.15","6.67","1.95"
"8436","大江","33.77","2.70","1.75","4.23"
"8437","F-大地","20.44","4.65","2.70","3.53"
"8444","F-綠河","28.48","2.20","1.96","3.71"
"8446","華研","23.41","4.50","3.49","5.17"
"8450","霹靂","27.87","2.80","2.75","3.08"
"8455","F-大拓","35.03","0.08","0.15","3.38"
"8462","柏文","22.74","3.91","4.89","3.18"
"8472","夠麻吉","16.39","3.95","6.21","2.00"
"8905","裕國","36.39","0.70","5.34","0.70"
"8906","花王","N/A","0.00","0.00","0.77"
"8908","欣雄","23.40","1.20","3.56","2.62"
"8913","全銓","43.54","0.45","2.52","1.33"
"8916","光隆","10.58","3.00","6.83","1.43"
"8917","欣泰","38.28","1.00","2.04","3.26"
"8921","沈氏","19.56","0.76","4.32","0.98"
"8923","時報","17.38","0.85","4.75","1.23"
"8924","大田","N/A","0.00","0.00","0.85"
"8927","北基","243.75","0.00","0.00","0.94"
"8928","鉅明","9.66","2.50","7.61","1.99"
"8929","富堡","16.91","1.20","4.93","1.00"
"8930","青鋼","N/A","0.00","0.00","0.64"
"8931","大汽電","31.64","0.80","3.33","1.63"
"8932","宏大","11.27","0.00","0.00","0.94"
"8933","愛地雅","7.19","0.40","3.25","0.73"
"8934","衡平","10.94","0.00","0.00","1.63"
"8935","邦泰","N/A","0.00","0.00","0.83"
"8936","國統","40.28","1.00","4.60","0.94"
"8937","合騏","33.38","0.11","0.97","1.03"
"8938","明安","48.69","0.70","3.42","0.84"
"8941","關中","20.23","2.50","3.18","2.20"
"8942","森鉅","11.30","5.99","6.83","2.10"
"9949","琉園","N/A","0.00","0.00","0.83"
"9950","萬國通","23.60","0.84","4.76","1.03"
"9951","皇田","16.62","5.50","3.34","5.51"
"9960","邁達康","67.81","0.50","2.30","1.62"
"9962","有益","N/A","0.00","0.00","0.83"
共720筆
